Month,Product,Category,Quantity,Unit_Price
Jan,Laptop,Electronics,5,55000
Jan,Phone,Electronics,8,22000
Jan,Headphones,Accessories,15,2000
Feb,Laptop,Electronics,6,55000
Feb,Phone,Electronics,10,22000
Feb,Headphones,Accessories,18,2000
Mar,Laptop,Electronics,7,55000
Mar,Phone,Electronics,12,22000
Mar,Headphones,Accessories,20,2000
Apr,Laptop,Electronics,8,55000
Apr,Phone,Electronics,14,22000
Apr,Headphones,Accessories,22,2000
May,Laptop,Electronics,9,55000
May,Phone,Electronics,15,22000
May,Headphones,Accessories,25,2000
Jun,Laptop,Electronics,10,55000
Jun,Phone,Electronics,17,22000
Jun,Headphones,Accessories,28,2000
